clip_id,text_label,text_confidence,acoustic_label,acoustic_confidence,final_label,confidence,flagged_for_review,mean_pitch,pitch_range,pitch_std,mean_energy,energy_std,mean_zcr,duration,clean_text,word_count,label_id
clip_1255,Frustrated,0.757,High Stress,0.7,Frustrated,0.4542,False,172.32,518.54,69.36,0.08421,0.04053,0.1654,29.568,"tried to be all sneaky about it. of course, the fia investigated, confirmed ferrari had broken the rules and slapped them with a 100,000 fine. and because f1 logic is undefeated, by the end of the season the fia went, eh whatever, and made team order's legal again for 2011. that's the fia for you, one minute is all good, the next is chaos, always switching things up. you know what never changes? the pure chaos, i mean entertainment in my videos. if you liked this one, go check out this other gem. and as always, thank you for watching.",97,1
clip_0120,Calm,0.8229,Calm,0.65,Calm,0.7537,False,102.88,86.28,17.91,0.07484,0.04823,0.1458,20.0,"slow it, slow it yeah, it was a good lap, good improvement strong throughout all the way fitpalzan especially in the last section of the lap in turn 6 as slow as you can please closer to the left, get minus 1 on your tarmac please it was a good lap",49,0
clip_0945,Calm,0.9378,Calm,0.65,Calm,0.8227,False,110.68,106.75,18.53,0.06275,0.04207,0.1668,20.0,"out button now please. not the blue lights. pre-start red. overtake enabled. car behind franco. good job. time out and it looks good. great job so far. car behind three seconds. third product will not work this evening. ok, let's settle in for now. good job. some ports, hawk delivery.",49,0
clip_0823,Calm,0.8765,Calm,0.65,Calm,0.7859,False,95.51,54.09,10.26,0.08906,0.0453,0.1704,20.0,"russell is moving, practice green, 60 kph here, practice green, russell is moving on mode q. mode in, mode in, hot shop, look, a lap behind, six behind, good on time. radio check, radio check, hot shop.",35,0
clip_0095,Calm,0.9445,Calm,0.65,Calm,0.8267,False,93.9,79.74,18.65,0.07932,0.05526,0.1675,20.0,"moving. 13,000, we need to cut the signal. and about a half second push. on, off. i'll wait for 11,000, 36. alex, far ahead. you're going to have to kill. you have to push.",31,0
clip_1039,Calm,0.5339,High Stress,0.7,High Stress,0.3204,False,126.96,171.75,34.54,0.07727,0.06327,0.145,20.0,"kled as smart as we wanted. thank you. fantastic job. fantastic job guys. really well done. really cool for the hard work. we gotta keep up. keep pushing. back at my ronello, we got work to do but i believe in you. let's keep pushing. close the ferrari. thank you.",51,2
clip_0197,Calm,0.8652,Calm,0.65,Calm,0.7791,False,106.31,98.46,22.74,0.08613,0.05052,0.1612,20.0,"you go to stages 3, turn 1, 2, 3, turn 1 and for the pitot, mostly turn 1, 2, and 7, 8 ok, let's push the truck 4, turn 1, 2, i have to move to stages 3, turn 1, 2, and the car will react yeah, we have nothing to lose, so let's just go for it",43,0
clip_0858,Calm,0.7939,Calm,0.65,Calm,0.7363,False,99.21,82.57,15.62,0.08654,0.04537,0.21,20.0,"okay ollie, we see a lot of rear locking end of brick and 14, suggest shape 2, shape 2 for the whole lap. go, steve! max is stable at 27 to go. 26 to go. good lap, ollie, you were 3 tenths quicker than max.",39,0
clip_0905,Calm,0.9536,Calm,0.65,Calm,0.8321,False,119.47,133.53,31.89,0.08827,0.04667,0.1528,20.0,"they're the only two that have improved. main gain is starved a lap with improvement for warm-up for franco. okay, mate, so here we go. so, parked ruffle exit 14, you're completely clear behind. track two. and then good to go. no lifts required this lap.",44,0
clip_0994,Calm,0.4079,High Stress,0.7,High Stress,0.28,False,130.96,340.85,71.55,0.05619,0.06999,0.1884,20.0,"have to move up to seventh. oh, sorry, that's this. that's contact in turn three. i'm gonna just check on it.",22,2
clip_0764,Calm,0.8035,Calm,0.65,Calm,0.7421,False,99.41,117.09,19.35,0.08089,0.0586,0.1953,20.0,and let's go mid-2 and entry minus 1 mid-2 entry minus 1 so when you can sock 7 sock 7 13 25 less to go 31 31 85 laps,18,0
clip_0723,Calm,0.9096,Calm,0.65,Calm,0.8058,False,99.14,44.01,9.12,0.08789,0.04705,0.1401,5.184,"and one minute, one t seconds until pit lane open. i'll ask you to fire up in about 15 seconds.",19,0
clip_0763,Frustrated,0.6523,Calm,0.65,Frustrated,0.3914,False,97.71,63.97,13.07,0.0866,0.04975,0.1997,20.0,"okay, we'll see if we can do something to help there. and nico, think about a little bit of lift and post and brake balance rearwards in turn 14. and our craning situation looks much better than the other guys on the same strategy. to do pump, to be the lead losing boost. fucking.",53,1
clip_0131,Calm,0.8164,Calm,0.65,Calm,0.7498,False,117.04,141.14,34.99,0.05214,0.06775,0.134,5.344,"copy ok carlos, i'm in less than 2 minutes and one minute will power up",14,0
clip_1168,Calm,0.8499,Calm,0.65,Calm,0.7699,False,91.43,81.43,16.02,0.07728,0.06089,0.2531,20.0,"safety car. okay, let's just stick to the delta. alright, let's try to stay close to zero on the delta. alright, that's where we're going to box this now. just our box blocks. okay, exit is clear.",37,0
clip_1094,Calm,0.5971,Calm,0.65,Calm,0.6183,False,119.21,115.56,27.98,0.08872,0.04591,0.2176,20.0,there very similar in pace very similar in pace both of us are managing you're doing a good job on tires it's just 1 more you're working break balance to you the motorcyle is 1.2 now 1.2,34,0
clip_0042,Calm,0.7089,High Stress,0.7,High Stress,0.4253,False,147.32,201.84,62.16,0.08546,0.05164,0.145,20.0,"it's charged on the line, higher rpm, perez pushing two behinds. what's the thought for perez pushing two behinds? higher rpm. perez now, cucumber two behinds. cucumber one, i think it's pulling down. you can give up some face front tires, higher rpm.",43,2
clip_1221,Frustrated,0.488,High Stress,0.75,Frustrated,0.3,False,253.01,665.32,197.64,0.0774,0.05462,0.1974,16.416,"i cannot believe it. plot engine! plot engine! i understand, roman. very sorry. but it's the same issue as we had in p3. i don't care. i don't care. it's too much. yeah, of course. of course. bon es-ci!",38,1
clip_1042,Calm,0.8961,Calm,0.65,Calm,0.7976,False,126.94,144.66,32.96,0.08019,0.05961,0.1874,19.904,"happy mother's day, mum. that also to all of the mums out there. thank you for what you do. okay, ollie. yeah, so antonely won. russell, p2, then hamilton, mclaren, then you. nice, first ferrari podium for hamilton. that's cool. when you gonna get there? podium. yep. okay, box, box. well, i'm trying, man.",54,0
clip_1234,Frustrated,0.5625,High Stress,0.75,High Stress,0.3375,False,210.43,1360.51,162.72,0.08908,0.04537,0.1622,35.0,"f1 drivers are trained to stay calm, right? well, not always. all the time you have to live in place. these are f1's most disrespectful radio moments. shall we clear? no! let's start with some lighter ones to warm up. you know when you'd try to be chill with someone? but somehow you only ever run into each other at the worst possible moments. yeah, that was leclerc and magnuson in 2018. that year those two seemed to run into each other on track all the time. and no, not exactly in the best possible way. their first run in happened in spain, when magnuson blocked leclerc and in",106,2
clip_0077,Calm,0.8991,Calm,0.65,Calm,0.7995,False,114.08,55.07,10.98,0.0584,0.05606,0.182,2.688,what's the step i need to q2 at the moment? to q3.,10,0
clip_0608,Calm,0.9461,Calm,0.65,Calm,0.8277,False,113.74,118.68,33.37,0.09047,0.04209,0.2004,20.0,can't left to go. face. perfect. face is good. watch for front lock in 6. air brake in lower peak in 6. gap 2.0.,21,0
clip_1282,Frustrated,0.7038,High Stress,0.75,Frustrated,0.4223,False,524.5,1640.25,634.85,0.07861,0.06123,0.2401,4.544,"yeah, i'm not even gonna say what the f happened.",11,1
clip_0221,Calm,0.844,Calm,0.65,Calm,0.7664,False,119.04,137.99,31.35,0.08491,0.05266,0.193,20.0,"then 1, 2, 3, 4, 5, 6. wind looks quite low. green, is that the case? come back to you. green 13, 1, 3 position 2 when you can. wind",20,0
clip_1233,Frustrated,0.7786,High Stress,0.75,Frustrated,0.4672,False,802.74,1836.51,576.79,0.07888,0.06088,0.2256,4.448,"how the f is that fucking blood, though? how is that possible?",12,1
clip_0779,Calm,0.749,Calm,0.65,Calm,0.7094,False,84.37,51.26,10.51,0.07784,0.04342,0.1839,20.0,"in pelopento p10 in front. and mode f-flap, mode f-flap. so antonelli won the race, then russell p2, hamilton, leclerc, three and four, then bearman p5, gazzly six, lawson seven, hatch r eight, and then sines and pelopento rounding out the points.",37,0
clip_0065,Calm,0.8912,High Stress,0.7,High Stress,0.5347,False,169.51,454.45,118.99,0.08834,0.04667,0.1307,20.0,"easy on power, you have hamilton pushing on the line. hamilton coming next to you now pushing. next car 14. ok, next car has just 13 behind, you will be pushing. the audition is good. easy on power, and then we can work on braking on front.",45,2
clip_1032,Calm,0.987,Calm,0.65,Calm,0.8522,False,98.53,143.45,35.93,0.05133,0.06389,0.1526,20.0,i'm glad. try mode fw and boost on the main straight.,11,0
clip_0008,Calm,0.9435,High Stress,0.7,High Stress,0.5661,False,112.85,2027.22,193.55,0.0859,0.05102,0.2094,20.0,i'm going to reset one second. i'm going to hit it five and a half again. i'm going to push it. i'm going to do six. i'm going to do five and a half. i'm going to do five and a half. i'm going to do six. i'm going to speed up. i'm going to try to switch to soft. i'm going to do five and a half. i'm going to do five and a half. i'm going to do five and a half.,84,2
clip_0918,Frustrated,0.69,High Stress,0.7,Frustrated,0.414,False,137.62,221.55,61.42,0.08047,0.05916,0.1536,20.0,"i lost it a damn! you need to try and hook up the last one, fuck sake! okay mate, strat one. strat one. keep your pace up, mate. uhhh lost the rear. lost the rear at the end and",39,1
clip_0040,Calm,0.5235,High Stress,0.7,High Stress,0.3141,False,137.63,192.07,54.17,0.08875,0.0459,0.1728,20.0,now okay let's go please,5,2
clip_1144,Calm,0.8394,Calm,0.65,Calm,0.7636,False,101.41,82.94,19.63,0.07593,0.0577,0.2194,20.0,"opening the lap, but i expect them to be gone by the time we get there. we've still got 11 seconds to loss them. that's first gear and 14, and then it'll be mode push. mode push before the final corner. let's go. okay, let's go mode slow.",46,0
clip_0589,Calm,0.8803,High Stress,0.7,High Stress,0.5282,False,161.79,1389.14,225.99,0.09068,0.04191,0.1874,20.0,"a4, k2, k2. overtake, we have overtake. slide down and now focus on tires. and you have overtake and mode fw and boost on the main state. we are on plan.",28,2
clip_0827,Calm,0.7601,Calm,0.65,Calm,0.7161,False,98.33,92.8,20.71,0.08744,0.04816,0.1892,20.0,"now we just pick on the garage it's not the dump that's gazzly ahead it's 6, 5, 4, 3, 2 and 1 it's good, gazzly 5 ahead gazzly 6 ahead target 270, industry",24,0
clip_0706,Frustrated,0.8449,High Stress,0.7,Frustrated,0.5069,False,105.54,202.67,33.6,0.08577,0.05101,0.2141,20.0,"stay online on this main straight please. stay left in every hotline. in good 14 position 1 when you can, max. when you can. hey, my fucking face, mate!",27,1
clip_0240,Calm,0.8755,Calm,0.65,Calm,0.7853,False,115.67,122.82,34.28,0.08535,0.05185,0.1931,20.0,"double yellow turn 16 so you can abort mode charge. are you ready for the trick behind? no. next car pushing hamilton 7. you can box charles box. trackers now clear. russell 3, 4, 3, 2, 1.",30,0
clip_1290,Calm,0.4589,Frustrated,0.6,Calm,0.2753,False,286.01,907.6,330.83,0.04582,0.05528,0.199,3.008,leclerc's in the wall at 16.,5,0
clip_1069,Calm,0.8638,High Stress,0.75,High Stress,0.5183,False,244.12,817.2,221.05,0.08059,0.05365,0.2075,20.0,"ok, ready? just two burnouts, two burnouts. mode raise and k button on. k button off. parts are flying away from the car. no meter issues with the car, the moment, stroll five ahead. just north of your tyre, watch your front left.",43,2
clip_1193,Calm,0.4348,Calm,0.65,Calm,0.5209,False,103.01,66.08,13.9,0.07982,0.05619,0.2348,20.0,"it. i'm telling you, it's him. all right, you're doing a good job. happy to keep doing what you're doing. so we've got a 19 second gap behind us. there's some slight front grating on the left now. all right, copy that. so it doesn't look worse than what we've seen on other cars towards the end.",56,0
clip_1089,Calm,0.8651,High Stress,0.7,Calm,0.5191,False,146.21,184.4,39.2,0.08853,0.04618,0.1978,20.0,"what was the pace for bottas? so bottas is running 40.0 you're doing a good job in the high speeds, sergio. you will get him back. yeah, see if it works. i need the mushroom now. he disappeared the mushroom. i don't know what happened.",44,0
clip_1031,Calm,0.466,High Stress,0.7,High Stress,0.28,False,134.36,258.56,82.15,0.06234,0.06091,0.1663,20.0,grip on the inside but it's a long first turn hamilton coming back. chalet claire will try and hang on to it no chance of it.,26,2
clip_0997,Calm,0.7865,High Stress,0.7,High Stress,0.4719,False,134.03,255.99,72.98,0.07545,0.06541,0.1517,20.0,"russell trying to get the move done. russell to the inside of turn number one. dip entry, dip high speed available. lewis point six behind. good. so lewis will have overtake. that is george russell, disappeared.",36,2
clip_0603,Calm,0.8708,High Stress,0.7,Calm,0.5225,False,136.88,171.11,47.81,0.08881,0.04565,0.1764,20.0,don't be usable i come out of the last corner with no power negative we are looking into that so i don't have to chew and three people for power. this is the most efficient we can ever the minute this is good keep it up,46,0
clip_0511,Calm,0.9084,High Stress,0.7,Calm,0.545,False,152.32,476.3,113.27,0.08542,0.05178,0.1773,18.368,"lensing end of this lap. i'll send nine behind. box now, lance, box now. i'll send four behind, pushing, finishing again. box now. waybridge, lance, waybridge. you can go back to p2 when you're ready.",34,0
clip_0646,Calm,0.9029,High Stress,0.7,Calm,0.5417,False,111.32,167.11,41.91,0.08744,0.0482,0.1736,20.0,"before, everything up for them, fine. yeah, we saw that review. keep this depth on the dust, parking the corners. lift off and the plate. need some lift. in turn 14, back in.",32,0
clip_0270,Calm,0.6618,Calm,0.65,Calm,0.6571,False,121.04,125.25,33.76,0.0865,0.04991,0.1961,20.0,"turn 11-12, 1-10 love time, so do it lewis, 36-2, you did a 36-5-5 yep, he's very fast at the moment brake balance minus 1 hamilton, 36-2",21,0
clip_1028,Calm,0.7507,High Stress,0.7,Calm,0.4504,False,149.1,211.47,55.96,0.0756,0.06533,0.1896,19.872,"for us, tyropus is still ok. might be slight error damage. yeah, that was my vote. understood. just trying to race. axel, i've made loss to car head and car behind. it's actually breaking and exit of turn six. well, car behind six.",42,0
clip_0185,Calm,0.8495,High Stress,0.7,Calm,0.5097,False,113.94,194.33,42.2,0.08336,0.0549,0.16,20.0,"24 to go, we'll have to do as well we'll be racing, ocon watch out for the red one at 14 ocon went off at 2 and we joined some good laps, you're doing good laps so, ocon, i'm coming",37,0
clip_1327,Frustrated,0.9218,Calm,0.65,High Stress,0.5531,False,0.0,0.0,0.0,0.05395,0.05458,0.3834,2.688,"that's right, we set the fire. grozhan, grozhan.",8,2
clip_0726,Calm,0.5448,Calm,0.65,Calm,0.5869,False,94.74,59.55,9.08,0.08818,0.04683,0.1846,20.0,to do alonzo seven seconds behind pushing not sure what linbler is gonna do we think he's gonna push we are in sync with linbler in front so you can build a bit of a gap now and alonzo four behind pushing awesome three seconds pushing,48,0
clip_0636,High Stress,0.65,Calm,0.65,High Stress,0.39,False,117.78,128.75,34.61,0.07409,0.0461,0.1732,15.872,"i'm not sure what's wrong. a box box. an advice is to keep second gear longer in turn 12. box box. jumping. yeah, i had a massive, massive snap this week.",30,2
clip_0182,Calm,0.8666,High Stress,0.7,High Stress,0.5199,False,123.06,190.71,40.9,0.08296,0.05552,0.1742,20.0,"phase 2, going up is just phase that we're lacking. you go left bar behind you, 38.6. so ahead of you, you're going up to 32. you go back, low sound, high pitch. shall i try much in that lap?",37,2
clip_0032,Calm,0.9366,High Stress,0.7,Calm,0.562,False,165.71,175.29,33.58,0.07422,0.06308,0.128,7.264,"if you have an issue with tires, and you make a mistake or something bad happens on lap 1, we can convert to a build, push, call, push.",27,0
clip_0231,Frustrated,0.4877,Calm,0.65,Calm,0.2926,False,113.51,136.33,35.55,0.08744,0.04831,0.1954,20.0,"yeah, turn 83, all get better at traffic from salouche. lusted. idiot, turn the countdown. alright, my bad. turn the overall pickup. so russell",23,0
clip_0266,Calm,0.8188,Calm,0.65,Calm,0.7513,False,108.06,105.09,27.22,0.07535,0.04279,0.1969,19.968,"increasing and you have overtake. switch position yellow, russell 0.7 without it. russell 0.7 overtake. 25 laps to go. that's the equal coming to play. copy that.",24,0
clip_0621,Calm,0.9462,Calm,0.65,Calm,0.8277,False,100.49,91.75,24.38,0.0715,0.04513,0.1552,20.0,"okay, engine start. 25 seconds to green. we have green light. remind the maximum 8 seconds to the client from. obviously, a hard out club would be good. yes, probably. that's clear.",30,0
clip_1121,High Stress,0.7029,Calm,0.65,High Stress,0.4217,False,127.6,109.72,21.71,0.07941,0.05425,0.2182,20.0,"on medium hard followed by russell hamilton, leclerc, berman, gasly, lawson, ajar, sainz, palapin to p10, holkenberg p11, linblat, potas, ocon yourself, retired, verstappen, alonso stroll, piaz trinoris.",26,2
clip_0258,Calm,0.9468,High Stress,0.7,Calm,0.5681,False,121.29,240.38,46.45,0.08821,0.04693,0.1968,20.0,"switch position red, yellow turn two for now. and box tiles box. so you can do is to stay close to these dashes flowing down. as you cross the tentry.",30,0
clip_0928,Calm,0.9139,High Stress,0.7,Calm,0.5483,False,126.79,189.72,47.33,0.08284,0.05583,0.172,20.0,next on the delta and again have a think about balance. i think that warm up for us was good on the out lap and we were going to target something. i issues done 14 again with that. my torque is very inconsistent. turn 11 i had a lot of push on this lap.,52,0
clip_0509,High Stress,0.65,Calm,0.65,Calm,0.39,False,108.83,109.03,29.65,0.08591,0.05095,0.1695,20.0,"stop in there now you're all okay all good remember it charge off charge off yeah, copy that lance will box into this lap box now",26,0
clip_0693,Calm,0.8793,High Stress,0.7,Calm,0.5276,False,92.87,183.42,20.59,0.08802,0.04712,0.1709,20.0,crack is clear behind focused on tyres positive on brakes recharge off easy on throttle exit slow button practice now popped,21,0
clip_0785,Calm,0.6603,High Stress,0.7,Calm,0.3962,False,140.55,1923.79,209.86,0.08697,0.049,0.1918,20.0,"how about 3, target 70 kph 26? is that what rapid? yeah, it looks like it. 220 kph 27. that's your merit. 100 kph 29. sorry, you have no virtual merit question. correct. copy.",27,0
clip_0016,Calm,0.8077,High Stress,0.7,Frustrated,0.4846,False,107.12,190.52,42.1,0.08414,0.05371,0.1922,20.0,"it's just nice, it's just no port turning low. it's gone as you think it's going right now. how was the accommodation? it was hard to figure out what's going on, so i was tired, so i thought i'd be late this weekend.",43,1
clip_1273,Frustrated,0.7572,High Stress,0.75,Frustrated,0.4543,False,430.53,1990.04,351.08,0.07133,0.03537,0.2124,34.936,"no problem mate, no problem. and there's the two-haster martin squabbling and behind fernando alonso hits his old teammate lewis hamilton. he comes hamilton into the lacombe chicanes and they make contact. hamilton rises up into the air, he's made contact with fernando alonso. stop, stop, stop, stop, stop, stop, stop, stop. hamilton is out of this race. yeah, what an idiot, closing the door from the outside. i mean, we had a mega start but this guy only knows how to drive starting first. getting through there as well. hamilton there.",91,1
clip_0679,Calm,0.8757,High Stress,0.7,Calm,0.5254,False,115.78,262.32,66.26,0.08219,0.05566,0.1936,18.464,thanks for watching guys!,4,0
clip_1166,Calm,0.8149,Calm,0.65,Calm,0.749,False,104.35,77.88,16.54,0.08092,0.05861,0.2446,20.0,"6. time to gain compared to have minimum speed 10.6. nice work. let's try and pull away now. car ahead is h lkenberg. okay, valtteri, how's the balance? how's the tires? let's give all of you a cheer. go, grady. balance, okay. okay, so science the car ahead.",46,0
clip_0520,Calm,0.9103,High Stress,0.7,Calm,0.5462,False,144.35,468.16,76.64,0.08516,0.05224,0.1738,20.0,"and bottas is the lead guy, he's just approaching the final corner let's assume that we're close to a car exit and i'll update you the science is the science of approaching the safety car line, so let's turn 1 now and then we've got a gap the next car is going to be",53,0
clip_0387,Calm,0.8101,High Stress,0.7,High Stress,0.486,False,149.17,696.79,137.95,0.08845,0.04641,0.1969,20.0,it will be wrapped 7 turn 14 turn 14 turn 7 turn 8 turn 9 turn 11 turn 14 turn 14 turn 14 turn 14 turn 14 turn 14,16,2
clip_0664,Calm,0.9516,Calm,0.65,Calm,0.831,False,148.49,59.08,15.81,0.08992,0.04193,0.1774,2.016,you can get a lower gear to start.,8,0
clip_1008,Calm,0.473,High Stress,0.7,Calm,0.2838,False,136.76,207.83,58.77,0.07044,0.0588,0.178,20.0,good job. more saving. turn seven. russell finally makes headway. surprises ocon with a move down the inside at turn six. george russell looking for the move to the inside. oliver bearman claiming seventh.,34,0
clip_0324,Calm,0.7395,Calm,0.65,Calm,0.7037,False,94.24,106.75,25.32,0.06289,0.03167,0.178,20.0,it's straight out track is clear target plus four so kimmy ahead 14 seconds it was a 3399 that's a used,19,0
clip_0061,Calm,0.5269,High Stress,0.7,Calm,0.3162,False,144.53,457.84,88.06,0.06766,0.04867,0.1484,19.04,"with the front and rear zips. what did we find? what did we find? you were saying we locked both axles in the entry phase. yes, i think we were above both front and rear on the entry.",38,0
clip_0893,Calm,0.7756,Calm,0.65,Calm,0.7254,False,100.1,94.16,19.72,0.08645,0.04991,0.1555,20.0,"32.7, track of the car behind now 5 seconds on the push lap. weaving down to 11, franco 4th. franco 3 behind all that we've done so far. let's push the track now to 13. franco 2 behind, behind.",32,0
clip_1093,Calm,0.89,Calm,0.65,Calm,0.794,False,131.75,133.53,38.77,0.0784,0.04672,0.2136,20.0,"it's ok, not a 100 km, it's a nice view. i like it on the right side. copy that. what do you think about it? now we have some water. but you think it will do. so we are 0.9, 0.9 from bottas, you will get overtake if you stay",47,0
clip_1152,Calm,0.9039,Calm,0.65,Calm,0.8023,False,95.5,33.68,8.87,0.03852,0.04464,0.2198,3.776,"all right, in terms of tires, we've got hard tires on the axle.",13,0
clip_0074,Calm,0.674,Calm,0.65,Calm,0.6644,False,112.84,57.76,11.06,0.07936,0.05975,0.1404,2.432,"yeah, sure. if that's not gonna hurt the front locking then fine.",13,0
clip_0360,Calm,0.7645,Calm,0.65,Calm,0.7187,False,126.17,16.63,5.65,0.07604,0.06412,0.2418,3.2,"okay, so you can follow up the car please.",9,0
clip_0431,Calm,0.5683,High Stress,0.7,High Stress,0.341,False,114.53,340.06,52.17,0.06086,0.03811,0.1756,20.0,"just a car that splits again. it's used down that delta. there you'll be, it's pit lane. so watch the white line. nice work, jimmy. that's a whole position, mate. yeah, let's go, man. woo! yeah, that was a decent lap. no, good effort.",44,2
clip_0053,Calm,0.8906,Calm,0.65,Calm,0.7943,False,143.11,132.87,27.85,0.08777,0.04726,0.1805,5.088,"yes, and we did not in the second, i think it's better with the potion.",15,0
clip_0078,Calm,0.8267,High Stress,0.7,Calm,0.496,False,181.13,170.34,39.67,0.08289,0.05483,0.1922,2.624,"it's a 52610 focus rate, 52610.",4,0
clip_0148,Calm,0.8012,Calm,0.65,Calm,0.7407,False,99.41,108.74,18.5,0.08915,0.04508,0.1695,20.0,"i think i can make it to the top but not for okay, i need to get the wheel thing on the flap i need to get the flap please oh, okay",32,0
clip_0882,Calm,0.7774,Calm,0.65,Calm,0.7264,False,108.26,34.85,9.87,0.07475,0.06583,0.1482,4.032,"i'll have a break, look for me, please. when you ready? go four and a half minutes to the second stop.",21,0
clip_0545,High Stress,0.5091,Calm,0.65,High Stress,0.3054,False,118.28,114.23,26.18,0.08824,0.04686,0.1533,20.0,6th hamilton in 7th hamilton in 9th russell is slow out of 13th hamilton in turn 11th there's one car ahead to go russell slow ahead of you hamilton just leaving 13th,26,2
clip_0563,Calm,0.9515,High Stress,0.7,High Stress,0.5709,False,123.2,154.59,36.49,0.09224,0.03827,0.1869,20.0,"than you. wilkenberg 5 behind pusci, 1-10 first sector, 1-10 second sector, last sector you were fast. wilkenberg 3, antoni 6, time wise we are safe, happy to do another push.",26,2
clip_1308,Calm,0.7918,Calm,0.65,Calm,0.7351,False,135.83,38.35,10.7,0.08649,0.04818,0.1651,2.688,"everybody, we are checking now.",5,0
clip_0306,Calm,0.5302,Calm,0.65,Calm,0.5781,False,125.74,148.9,42.24,0.08176,0.04951,0.1476,20.0,"and the flight is correct please off-line b9, b9 level race mate, very good drop mode 13, mode 13, now please really very good drop full mode 13, that's a strong race, strong race lot of learning",31,0
clip_0318,Calm,0.6931,High Stress,0.7,Frustrated,0.4159,False,150.52,1933.08,299.73,0.07115,0.04231,0.2441,20.0,"yeah, good job there and yeah, we'll polish these type of things to some homework. yep, good job to everyone to finish both cars. yep.",25,1
clip_0179,Calm,0.9188,Calm,0.65,Calm,0.8113,False,102.51,122.53,27.41,0.07914,0.06058,0.1691,20.0,"ok, that's what pressure to 4, pressure to 4, to go with the deck coming back, to start it off fast, and then what's it doing? we just want to try stages 4, turn 1, 2, and then stage 3 rest of the line.",38,0
clip_0386,Calm,0.7205,High Stress,0.7,High Stress,0.4323,False,133.68,283.82,77.75,0.08091,0.04804,0.1765,20.0,"just crank that car out of the way now. why are you doing so many bar nights like i just did? i could level this lap. hey, come. it's all good. car's just going behind the barriers now. some seat in this lap. just remind them of the restart.",49,2
clip_0943,Calm,0.9348,Calm,0.65,Calm,0.8209,False,131.77,111.5,30.78,0.08052,0.05906,0.1664,20.0,"skip the blankets. can you confirm cloud 7? can i confirm asian cloud 7? do you want me to do a lot of straights? 0 to 50 properly possible mate. so it's completely normal that you stay in the middle also if you go to the right. ok mate, so here we are.",49,0
clip_0296,Calm,0.9763,High Stress,0.7,Calm,0.5858,False,143.56,1932.7,280.68,0.06763,0.0534,0.1863,19.616,"franco finished. so franco finished p10. p10. ah, good. anyway, it's been a very good weekend guys. thanks for the car. it was very enjoyable to see.",25,0
clip_0192,Calm,0.9002,Calm,0.65,Calm,0.8001,False,99.51,87.99,19.8,0.08702,0.04901,0.1628,20.0,whatever better chance for points you think this will be tricky i think we need to take a new software and you video and after to do better job please 1060 and all the correct and once it's a fortune,39,0
clip_0202,Calm,0.4679,High Stress,0.7,Calm,0.2808,False,106.8,157.68,31.55,0.08686,0.0493,0.1546,20.0,"and one is obi management turn one was good, pec management turn one was good oq714, that's the big one turn 14 no worries and go, 3d ie 371",25,0
clip_0196,Calm,0.8824,Calm,0.65,Calm,0.7895,False,110.67,128.7,32.47,0.0872,0.04865,0.1711,20.0,"yeah, that's good news for us because let me know when i can start pushing a beat even the breaking and everything i'll let you know what one and two to break they're gonna find a place to push good",41,0
clip_0336,Calm,0.9556,Calm,0.65,Calm,0.8333,False,98.51,46.44,10.53,0.07041,0.07016,0.2314,2.72,build your gap on this exit,6,0
clip_0774,Calm,0.9131,Calm,0.65,Calm,0.8078,False,92.85,62.64,6.99,0.08134,0.0482,0.1975,20.0,"red tree minus two and brake balance minus two and blue flags dantanelli. good job nico. we kept the overtake range with dantanelli. and ocon is out of overtake range. consider high speed ten, high speed ten. we will only get two blue flags, only get two",47,0
clip_0396,High Stress,0.4206,Calm,0.65,High Stress,0.26,False,93.39,49.42,6.97,0.08911,0.0452,0.2094,20.0,36 or 36 or 36 0 ferrari's behind looking for that converted word 2 stop maybe some debris exit turn 4 36 0 give me my car,19,2
clip_0358,Calm,0.8901,Calm,0.65,Calm,0.7941,False,97.78,101.32,22.74,0.08653,0.04861,0.1651,20.0,white line entry coming down beerman beerman at seven six five four so we've got the spot we'll stop you short we'll be short switch off pull you back in,30,0
clip_0462,Calm,0.9182,High Stress,0.7,High Stress,0.5509,False,108.99,201.96,46.52,0.08413,0.05361,0.1942,20.0,"4.5 so all the behind now the claire lewis and george yeah, happy with this just keep building the gap out 4.5 still happy to push it to 7",26,2
clip_0523,Calm,0.8631,Calm,0.65,Calm,0.7779,False,126.78,115.66,29.43,0.08823,0.04685,0.1666,20.0,"lap. we'll box this lap, keep the revs left on the inlap. car behind is oscar, he's on his inlap as well. behind him is colopinto on an outlap. there's kind of time that probably para's in turn 1. we've still got oscar just leaving 6.",44,0
clip_0044,Calm,0.9033,High Stress,0.7,Calm,0.542,False,116.6,176.99,53.78,0.08648,0.04994,0.1431,20.0,because 1 tenth on the hull 3 tenths and 3 minimum speed 3 tenths and 13th they take it 1 tenth park lot 6th let me know what to do i'll be the first chef with your stability,31,0
clip_0088,Calm,0.9041,Calm,0.65,Calm,0.8024,False,125.78,120.52,18.39,0.06019,0.06171,0.1415,9.44,"i can also do something back. great position 10 and 14, so that's right hand side. that's been some roll and he put some powder to clean it so you might see marks of it.",33,0
clip_0854,Calm,0.8796,Calm,0.65,Calm,0.7878,False,96.13,58.5,10.32,0.0869,0.04911,0.206,20.0,"turn 7 minus 0.5 ok, ollie has a max behind a similar hr and he's also on hard racing him to the end 34 to go these laps are good ollie, good job up in 2.1",32,0
